mesocosm	oxy	day	area
C	48	2	0.515
C	48	2	0.311
C	48	4	0.408
C	48	4	0.981
C	48	4	0.659
C	48	4	1.342
C	48	4	1.09
C	48	4	0.755
C	48	6	0.442
C	48	6	0.335
C	48	6	1.201
C	48	6	0.717
C	48	6	1.588
C	48	6	1.2
C	48	6	0.686
C	48	8	0.457
C	48	8	1.084
C	48	8	1.51
C	48	8	2.087
C	48	8	1.015
C	48	8	2.358
C	48	8	0.418
C	48	8	1.594
C	48	8	0.542
C	48	8	0.398
A	280	2	1.983
A	280	2	1.692
A	280	2	4.502
A	280	2	1.102
A	280	2	1.792
A	280	2	1.406
A	280	2	2.954
A	280	2	1.743
A	280	2	1.545
A	280	2	1.34
A	280	4	2.243
A	280	4	4.563
A	280	4	4.83
A	280	4	1.76
A	280	4	2.04
A	280	4	2.135
A	280	4	0.885
A	280	4	4.603
A	280	4	1.983
A	280	4	2.302
A	280	4	1.225
A	280	4	1.332
A	280	4	0.608
A	280	4	0.58
A	280	6	2.237
A	280	6	5.233
A	280	6	0.862
A	280	6	6.643
A	280	6	1.932
A	280	6	3.623
A	280	6	2.242
A	280	6	0.524
A	280	6	4.173
A	280	6	1.342
A	280	6	2.349
A	280	6	3.061
A	280	6	1.82
A	280	6	2.971
A	280	6	1.848
A	280	6	0.447
A	280	6	0.526
A	280	6	1.583
A	280	8	2.619
A	280	8	7.136
A	280	8	6.346
A	280	8	2.021
A	280	8	2.3
A	280	8	4.03
A	280	8	3.464
A	280	8	2.664
A	280	8	5.592
A	280	8	3.07
A	280	8	3.377
A	280	8	3.399
A	280	8	3.659
A	280	8	2.633
A	280	8	2.541
A	280	8	3.169
A	280	8	0.536
D	106	2	0.338
D	106	2	0.22
D	106	2	1.493
D	106	2	0.846
D	106	2	1.025
D	106	2	0.353
D	106	2	1.14
D	106	2	1.011
D	106	4	0.736
D	106	4	0.144
D	106	4	1.428
D	106	4	0.677
D	106	4	0.306
D	106	4	1.085
D	106	4	1.384
D	106	4	0.365
D	106	6	0.951
D	106	6	0.691
D	106	6	0.513
D	106	6	1.186
D	106	6	0.52
D	106	6	1.891
D	106	6	0.507
D	106	6	0.99
D	106	6	0.374
D	106	6	1.722
D	106	6	1.204
D	106	6	1.403
D	106	8	1.75
D	106	8	1.813
D	106	8	2.586
D	106	8	3.781
D	106	8	0.762
D	106	8	0.308
D	106	8	1.198
D	106	8	1.581
D	106	8	0.839
D	106	8	0.412
D	106	8	2.721
D	106	8	0.716
D	106	8	0.346
D	106	8	1.846
D	106	8	1.933
D	106	8	0.99
