sample	depth	meso	core	treat
eddy425um_1	1	eddy	a	initial
eddy425um_2	2	eddy	a	initial
eddy425um_3	3	eddy	a	initial
eddy425um_4	4	eddy	a	initial
eddy425um_5	5	eddy	a	initial
eddy425um_6	6	eddy	a	initial
eddy425um_7	7	eddy	a	initial
eddy425um_8	8	eddy	a	initial
eddy425um_9	9	eddy	a	initial
meso1A_10cm	10	one	a	nereis
meso1A_1cm	1	one	a	nereis
meso1A_3cm	3	one	a	nereis
meso1A_5cm	5	one	a	nereis
meso1B_10cm	10	one	b	nereis
meso1B_1cm	1	one	b	nereis
meso1B_3cm	3	one	b	nereis
meso1B_5cm	5	one	b	nereis
meso1Bcon_10cm	10	one	b	cont
meso1Bcon_1cm	1	one	b	cont
meso1Bcon_3cm	3	one	b	cont
meso1Bcon_5cm	5	one	b	cont
meso1C_10cm	10	one	c	nereis
meso1C_1cm	1	one	c	nereis
meso1C_3cm	3	one	c	nereis
meso1C_5cm	5	one	c	nereis
meso3A_10cm	10	three	a	nereis
meso3A_1cm	1	three	a	nereis
meso3A_3cm	3	three	a	nereis
meso3A_5cm	5	three	a	nereis
meso3B_10cm	10	three	b	nereis
meso3B_1cm	1	three	b	nereis
meso3B_3cm	3	three	b	nereis
meso3B_5cm	5	three	b	nereis
meso3Bcon_10cm	10	three	b	cont
meso3Bcon_1cm	1	three	b	cont
meso3Bcon_3cm	3	three	b	cont
meso3Bcon_5cm	5	three	b	cont
meso3C_10cm	10	three	c	nereis
meso3C_1cm	1	three	c	nereis
meso3C_3cm	3	three	c	nereis
meso3C_5cm	5	three	c	nereis
meso4A_10cm	10	four	a	nereis
meso4A_1cm	1	four	a	nereis
meso4A_3cm	3	four	a	nereis
meso4A_5cm	5	four	a	nereis
meso4B_10cm	10	four	b	nereis
meso4B_1cm	1	four	b	nereis
meso4B_3cm	3	four	b	nereis
meso4B_5cm	5	four	b	nereis
meso4Bcon_10cm	10	four	b	cont
meso4Bcon_1cm	1	four	b	cont
meso4Bcon_3cm	3	four	b	cont
meso4Bcon_5cm	5	four	b	cont
meso4C_10cm	10	four	c	nereis
meso4C_1cm	1	four	c	nereis
meso4C_3cm	3	four	c	nereis
meso4C_5cm	5	four	c	nereis
