treat	cont	meso
2.7626E+2	2.7887E+2	meso1
2.7619E+2	2.7911E+2	meso1
2.7644E+2	2.7932E+2	meso1
2.7591E+2	2.7901E+2	meso1
2.7605E+2	2.7917E+2	meso1
2.7644E+2	2.7948E+2	meso1
2.7684E+2	2.7923E+2	meso1
2.7617E+2	2.7916E+2	meso1
2.7681E+2	2.7878E+2	meso1
2.7683E+2	2.7891E+2	meso1
2.7623E+2	2.7887E+2	meso1
2.7731E+2	2.7890E+2	meso1
2.7633E+2	2.7993E+2	meso1
2.7673E+2	2.7889E+2	meso1
2.7664E+2	2.7822E+2	meso1
2.7560E+2	2.7870E+2	meso1
2.7623E+2	2.7931E+2	meso1
2.7659E+2	2.7901E+2	meso1
2.7658E+2	2.7959E+2	meso1
2.7629E+2	2.7873E+2	meso1
2.7638E+2	2.7890E+2	meso1
2.7705E+2	2.7927E+2	meso1
2.7648E+2	2.7951E+2	meso1
2.7648E+2	2.7929E+2	meso1
2.7664E+2	2.7981E+2	meso1
2.7654E+2	2.7881E+2	meso1
2.7666E+2	2.7910E+2	meso1
2.7665E+2	2.7884E+2	meso1
2.7659E+2	2.7975E+2	meso1
2.7737E+2	2.7909E+2	meso1
2.7695E+2	2.7936E+2	meso1
2.7694E+2	2.7910E+2	meso1
2.7709E+2	2.7913E+2	meso1
2.7636E+2	2.7935E+2	meso1
2.7692E+2	2.7945E+2	meso1
2.7736E+2	2.7907E+2	meso1
2.7643E+2	2.7927E+2	meso1
2.7650E+2	2.7898E+2	meso1
2.7621E+2	2.7906E+2	meso1
2.7702E+2	2.7954E+2	meso1
2.7634E+2	2.7937E+2	meso1
2.7691E+2	2.7928E+2	meso1
2.7614E+2	2.7942E+2	meso1
2.7675E+2	2.7933E+2	meso1
2.7731E+2	2.7978E+2	meso1
2.7709E+2	2.7909E+2	meso1
2.7683E+2	2.7980E+2	meso1
2.7696E+2	2.7977E+2	meso1
2.7666E+2	2.7952E+2	meso1
