samp_depth	samp_date	date	depth	pwfe
-5	2018-06-10	2018-06-10	-5	0.01
3	2018-06-10	2018-06-10	-0.05	0.01
6	2018-06-10	2018-06-10	0	3.085888782
9	2018-06-10	2018-06-10	3	187.6392157
12	2018-06-10	2018-06-10	6	189.8352941
15	2018-06-10	2018-06-10	9	182.1490196
-5	2018-06-11	2018-06-10	12	186.6196078
2	2018-06-11	2018-06-10	15	193.482353
5	2018-06-11	2018-06-11	-5	0.01
8	2018-06-11	2018-06-11	-0.05	0.01
11	2018-06-11	2018-06-11	0	6.776661885
14	2018-06-11	2018-06-11	2	277.4431373
-5	2018-06-12	2018-06-11	5	277.6392157
2	2018-06-12	2018-06-11	8	278.3843137
5	2018-06-12	2018-06-11	11	275.8352941
8	2018-06-12	2018-06-11	14	272.1490196
11	2018-06-12	2018-06-12	-5	0.01
14	2018-06-12	2018-06-12	-0.05	0.01
-5	2018-06-13	2018-06-12	0	8.127211859
2	2018-06-13	2018-06-12	2	332.8156862
5	2018-06-13	2018-06-12	5	334.1490196
8	2018-06-13	2018-06-12	8	333.0901961
11	2018-06-13	2018-06-12	11	319.4431373
14	2018-06-13	2018-06-12	14	319.0901961
-5	2018-06-14	2018-06-13	-5	0.01
1	2018-06-14	2018-06-13	-0.05	0.01
4	2018-06-14	2018-06-13	0	9.020564322
7	2018-06-14	2018-06-13	2	369.4431372
10	2018-06-14	2018-06-13	5	361.0509804
13	2018-06-14	2018-06-13	8	358.8156863
-5	2018-06-15	2018-06-13	11	358.6980392
1	2018-06-15	2018-06-13	14	353.8352941
4	2018-06-15	2018-06-14	-5	0.01
7	2018-06-15	2018-06-14	-0.05	0.01
10	2018-06-15	2018-06-14	0	18.00168067
13	2018-06-15	2018-06-14	1	377.8352941
-5	2018-06-17	2018-06-14	4	382.0313726
1	2018-06-17	2018-06-14	7	396.5803922
4	2018-06-17	2018-06-14	10	372.0705882
7	2018-06-17	2018-06-14	13	362.1490196
10	2018-06-17	2018-06-15	-5	0.01
13	2018-06-17	2018-06-15	-0.05	0.01
-5	2018-06-18	2018-06-15	0	18.00168067
1	2018-06-18	2018-06-15	1	377.8352941
4	2018-06-18	2018-06-15	4	382.0313726
7	2018-06-18	2018-06-15	7	396.5803922
10	2018-06-18	2018-06-15	10	372.0705882
13	2018-06-18	2018-06-15	13	362.1490196
-5	2018-06-19	2018-06-17	-5	0.01
1	2018-06-19	2018-06-17	-0.05	0.01
4	2018-06-19	2018-06-17	0	15.04556489
7	2018-06-19	2018-06-17	1	315.7568627
10	2018-06-19	2018-06-17	4	382.7764706
13	2018-06-19	2018-06-17	7	386.8549019
-5	2018-06-20	2018-06-17	10	397.7960784
1	2018-06-20	2018-06-17	13	374.5019608
4	2018-06-20	2018-06-18	-5	0.01
7	2018-06-20	2018-06-18	-0.05	0.01
10	2018-06-20	2018-06-18	0	14.61605976
13	2018-06-20	2018-06-18	1	306.7372549
		2018-06-18	4	394.1882353
		2018-06-18	7	405.3647059
		2018-06-18	10	396.1882353
		2018-06-18	13	387.3254902
		2018-06-19	-5	0.01
		2018-06-19	-0.05	0.01
		2018-06-19	0	13.22857143
		2018-06-19	1	277.6
		2018-06-19	4	403.4431373
		2018-06-19	7	396.6588235
		2018-06-19	10	387.6784313
		2018-06-19	13	379.9921569
		2018-06-20	-5	0.01
		2018-06-20	-0.05	0.01
		2018-06-20	0	11.76078431
		2018-06-20	1	246.7764706
		2018-06-20	4	410.345098
		2018-06-20	7	419.7568627
		2018-06-20	10	383.2078431
		2018-06-20	13	388.1882353
