samp_depth	samp_date	date	depth	pwfe
-5	2018-06-10	2018-06-10	-5	0.01
3	2018-06-10	2018-06-10	-0.05	0.01
6	2018-06-10	2018-06-10	0	2.256573449
9	2018-06-10	2018-06-10	3	137.0509804
12	2018-06-10	2018-06-10	6	205.5607843
15	2018-06-10	2018-06-10	9	173.6
-5	2018-06-11	2018-06-10	12	190.5803922
2	2018-06-11	2018-06-10	15	193.6
5	2018-06-11	2018-06-11	-5	0.01
8	2018-06-11	2018-06-11	-0.05	0.01
11	2018-06-11	2018-06-11	0	2.942132951
14	2018-06-11	2018-06-11	2	120.227451
-5	2018-06-12	2018-06-11	5	187.9137255
1	2018-06-12	2018-06-11	8	278.227451
4	2018-06-12	2018-06-11	11	279.7960784
7	2018-06-12	2018-06-11	14	274.3843137
10	2018-06-12	2018-06-12	-5	0.01
13	2018-06-12	2018-06-12	-0.05	0.01
-5	2018-06-13	2018-06-12	0	4.642203548
1	2018-06-13	2018-06-12	1	97.2862745
4	2018-06-13	2018-06-12	4	135.9137255
7	2018-06-13	2018-06-12	7	330.6588235
10	2018-06-13	2018-06-12	10	324.8156863
13	2018-06-13	2018-06-12	13	318.7372549
-5	2018-06-14	2018-06-13	-5	0.01
1	2018-06-14	2018-06-13	-0.05	0.01
4	2018-06-14	2018-06-13	0	3.46573296
7	2018-06-14	2018-06-13	1	72.58039216
10	2018-06-14	2018-06-13	4	149.4431372
13	2018-06-14	2018-06-13	7	272.5411765
-5	2018-06-15	2018-06-13	10	352.3058823
1	2018-06-15	2018-06-13	13	352.1098039
4	2018-06-15	2018-06-14	-5	0.01
7	2018-06-15	2018-06-14	-0.05	0.01
10	2018-06-15	2018-06-14	0	1.839215686
13	2018-06-15	2018-06-14	1	38.42352941
-5	2018-06-17	2018-06-14	4	164.227451
1	2018-06-17	2018-06-14	7	315.8745098
4	2018-06-17	2018-06-14	10	386.4235294
7	2018-06-17	2018-06-14	13	365.9529412
10	2018-06-17	2018-06-15	-5	0.01
13	2018-06-17	2018-06-15	-0.05	0.01
-5	2018-06-18	2018-06-15	0	1.839215686
1	2018-06-18	2018-06-15	1	38.42352941
4	2018-06-18	2018-06-15	4	164.227451
7	2018-06-18	2018-06-15	7	315.8745098
10	2018-06-18	2018-06-15	10	386.4235294
13	2018-06-18	2018-06-15	13	365.9529412
-5	2018-06-19	2018-06-17	-5	0.01
1	2018-06-19	2018-06-17	-0.05	0.01
4	2018-06-19	2018-06-17	0	1.536694678
7	2018-06-19	2018-06-17	1	32.07058824
10	2018-06-19	2018-06-17	4	208.3058824
13	2018-06-19	2018-06-17	7	344.7764706
-5	2018-06-20	2018-06-17	10	410.5019608
1	2018-06-20	2018-06-17	13	356.9333333
4	2018-06-20	2018-06-18	-5	0.01
7	2018-06-20	2018-06-18	-0.05	0.01
10	2018-06-20	2018-06-18	0	1.645004669
13	2018-06-20	2018-06-18	1	34.34509805
		2018-06-18	4	173.4039216
		2018-06-18	7	321.8745098
		2018-06-18	10	399.1686274
		2018-06-18	13	365.7960784
		2018-06-19	-5	0.01
		2018-06-19	-0.05	0.01
		2018-06-19	0	1.056769374
		2018-06-19	1	21.99215686
		2018-06-19	4	186.3843137
		2018-06-19	7	314.5019608
		2018-06-19	10	392.0705882
		2018-06-19	13	373.8745098
		2018-06-20	-5	0.01
		2018-06-20	-0.05	0.01
		2018-06-20	0	1.351820728
		2018-06-20	1	28.18823529
		2018-06-20	4	168.5019608
		2018-06-20	7	290.0313726
		2018-06-20	10	385.0509804
		2018-06-20	13	392.1490196
