samp_date	samp_depth	date	depth	pwfe
2017-05-13	-6.5	2017-05-13	-6.5	0.01
2017-05-13	-0.5	2017-05-13	-0.05	0.01
2017-05-13	2.5	2017-05-13	0	6.392579776
2017-05-13	5.5	2017-05-13	2.5	325.5215686
2017-05-13	8.5	2017-05-13	5.5	329.1686275
2017-05-13	11.5	2017-05-13	8.5	328.4235294
2017-05-14	-6.5	2017-05-13	11.5	334.6196079
2017-05-14	-0.5	2017-05-14	-6.5	0.01
2017-05-14	2.5	2017-05-14	-0.05	0.01
2017-05-14	5.5	2017-05-14	0	6.978508267
2017-05-14	8.5	2017-05-14	2.5	355.4039216
2017-05-14	11.5	2017-05-14	5.5	369.2470588
2017-05-15	-6.5	2017-05-14	8.5	349.9921569
2017-05-15	-0.5	2017-05-14	11.5	352.227451
2017-05-15	2.5	2017-05-15	-6.5	0.01
2017-05-15	5.5	2017-05-15	-0.05	0.01
2017-05-15	8.5	2017-05-15	0	7.835101884
2017-05-15	11.5	2017-05-15	2.5	399.0901961
2017-05-16	-6.5	2017-05-15	5.5	384.7764706
2017-05-16	-0.5	2017-05-15	8.5	399.6784314
2017-05-16	2.5	2017-05-15	11.5	362.1490196
2017-05-16	5.5	2017-05-16	-6.5	0.01
2017-05-16	8.5	2017-05-16	-0.05	0.01
2017-05-16	11.5	2017-05-16	0	7.54828912
2017-05-17	-6.5	2017-05-16	2.5	384.4627451
2017-05-17	-0.5	2017-05-16	5.5	393.8745098
2017-05-17	2.5	2017-05-16	8.5	387.1686274
2017-05-17	5.5	2017-05-16	11.5	363.4039216
2017-05-17	8.5	2017-05-17	-6.5	0.01
2017-05-17	11.5	2017-05-17	-0.05	0.01
2017-05-18	-6.5	2017-05-17	0	7.695924645
2017-05-18	-0.5	2017-05-17	2.5	391.9921569
2017-05-18	2.5	2017-05-17	5.5	399.9529412
2017-05-18	5.5	2017-05-17	8.5	416.0705882
2017-05-18	8.5	2017-05-17	11.5	386.6980392
2017-05-18	11.5	2017-05-18	-6.5	0.01
2017-05-19	-6.5	2017-05-18	-0.05	0.01
2017-05-19	-0.5	2017-05-18	0	8.029642445
2017-05-19	2.5	2017-05-18	2.5	409.0117647
2017-05-19	5.5	2017-05-18	5.5	389.5607843
2017-05-19	8.5	2017-05-18	8.5	411.9137255
2017-05-19	11.5	2017-05-18	11.5	367.6392157
2017-05-20	-6.5	2017-05-19	-6.5	0.01
2017-05-20	-0.5	2017-05-19	-0.05	0.01
2017-05-20	2.5	2017-05-19	0	7.595194157
2017-05-20	5.5	2017-05-19	2.5	386.854902
2017-05-20	8.5	2017-05-19	5.5	397.9137255
2017-05-20	11.5	2017-05-19	8.5	399.5607843
2017-05-21	-6.5	2017-05-19	11.5	381.2862745
2017-05-21	-0.5	2017-05-20	-6.5	0.01
2017-05-21	2.5	2017-05-20	-0.05	0.01
2017-05-21	5.5	2017-05-20	0	8.037331796
2017-05-21	8.5	2017-05-20	2.5	409.4039216
2017-05-21	11.5	2017-05-20	5.5	404.109804
2017-05-22	-6.5	2017-05-20	8.5	427.1686275
2017-05-22	-0.5	2017-05-20	11.5	403.8352941
2017-05-22	2.5	2017-05-21	-6.5	0.01
2017-05-22	5.5	2017-05-21	-0.05	0.01
2017-05-22	8.5	2017-05-21	0	8.00272972
2017-05-22	11.5	2017-05-21	2.5	407.6392157
2017-05-23	-6.5	2017-05-21	5.5	397.0509804
2017-05-23	-0.5	2017-05-21	8.5	413.9529411
2017-05-23	2.5	2017-05-21	11.5	393.0509804
2017-05-23	5.5	2017-05-22	-6.5	0.01
2017-05-23	8.5	2017-05-22	-0.05	0.01
2017-05-23	11.5	2017-05-22	0	7.839715494
		2017-05-22	2.5	399.3254902
		2017-05-22	5.5	448.3058823
		2017-05-22	8.5	429.9137255
		2017-05-22	11.5	441.9921569
		2017-05-23	-6.5	0.01
		2017-05-23	-0.05	0.01
		2017-05-23	0	7.715916955
		2017-05-23	2.5	393.0117647
		2017-05-23	5.5	454.5411765
		2017-05-23	8.5	437.9137255
		2017-05-23	11.5	437.0509804
