samp_date	samp_depth	date	depth	pwfe
2017-05-13	-5.5	2017-05-13	-6.5	0.01
2017-05-13	0.5	2017-05-13	-0.05	0.01
2017-05-13	3.5	2017-05-13	0	0.01
2017-05-13	6.5	2017-05-13	0.5	71.87450981
2017-05-13	9.5	2017-05-13	3.5	182.5411765
2017-05-13	12.5	2017-05-13	6.5	340.0705882
2017-05-14	-5.5	2017-05-13	9.5	344.3843137
2017-05-14	0.5	2017-05-13	12.5	336.6588235
2017-05-14	3.5	2017-05-14	-6.5	0.01
2017-05-14	6.5	2017-05-14	-0.05	0.01
2017-05-14	9.5	2017-05-14	0	0.01
2017-05-14	12.5	2017-05-14	0.5	8.494117647
2017-05-15	-5.5	2017-05-14	3.5	193.8745098
2017-05-15	-0.5	2017-05-14	6.5	302.6196079
2017-05-15	3.5	2017-05-14	9.5	366.6980392
2017-05-15	6.5	2017-05-14	12.5	352.5019608
2017-05-15	9.5	2017-05-15	-6.5	0.01
2017-05-15	12.5	2017-05-15	-0.05	0.01
2017-05-16	-5.5	2017-05-15	0	0.01
2017-05-16	-0.5	2017-05-15	0.5	0.01
2017-05-16	3.5	2017-05-15	3.5	103.4039216
2017-05-16	6.5	2017-05-15	6.5	376.8941176
2017-05-16	9.5	2017-05-15	9.5	386.6980392
2017-05-16	12.5	2017-05-15	12.5	372.1098039
2017-05-17	-5.5	2017-05-16	-6.5	0.01
2017-05-17	-0.5	2017-05-16	-0.05	0.01
2017-05-17	3.5	2017-05-16	0	0.01
2017-05-17	6.5	2017-05-16	0.5	0.01
2017-05-17	9.5	2017-05-16	3.5	99.20784315
2017-05-17	12.5	2017-05-16	6.5	351.3254902
2017-05-18	-5.5	2017-05-16	9.5	387.4431373
2017-05-18	-0.5	2017-05-16	12.5	372.3843137
2017-05-18	3.5	2017-05-17	-6.5	0.01
2017-05-18	6.5	2017-05-17	-0.05	0.01
2017-05-18	9.5	2017-05-17	0	0.01
2017-05-18	12.5	2017-05-17	0.5	0.01
2017-05-19	-5.5	2017-05-17	3.5	137.4823529
2017-05-19	-0.5	2017-05-17	6.5	303.9921568
2017-05-19	3.5	2017-05-17	9.5	416.8941176
2017-05-19	6.5	2017-05-17	12.5	382.4235294
2017-05-19	9.5	2017-05-18	-6.5	0.01
2017-05-19	12.5	2017-05-18	-0.05	0.01
2017-05-20	-5.5	2017-05-18	0	0.01
2017-05-20	-0.5	2017-05-18	0.5	0.01
2017-05-20	3.5	2017-05-18	3.5	123.2862745
2017-05-20	6.5	2017-05-18	6.5	314.1882353
2017-05-20	9.5	2017-05-18	9.5	391.7960784
2017-05-20	12.5	2017-05-18	12.5	374.345098
2017-05-21	-5.5	2017-05-19	-6.5	0.01
2017-05-21	-0.5	2017-05-19	-0.05	0.01
2017-05-21	3.5	2017-05-19	0	0.01
2017-05-21	6.5	2017-05-19	0.5	0.01
2017-05-21	9.5	2017-05-19	3.5	121.2078432
2017-05-21	12.5	2017-05-19	6.5	314.4235294
2017-05-22	-5.5	2017-05-19	9.5	394.9333333
2017-05-22	-0.5	2017-05-19	12.5	388.8156863
2017-05-22	3.5	2017-05-20	-6.5	0.01
2017-05-22	6.5	2017-05-20	-0.05	0.01
2017-05-22	9.5	2017-05-20	0	0.01
2017-05-22	12.5	2017-05-20	0.5	0.01
2017-05-22	-5.5	2017-05-20	3.5	150.5019608
2017-05-22	-0.5	2017-05-20	6.5	273.3254902
2017-05-22	3.5	2017-05-20	9.5	429.4431373
2017-05-22	6.5	2017-05-20	12.5	404.972549
2017-05-22	9.5	2017-05-21	-6.5	0.01
2017-05-22	12.5	2017-05-21	-0.05	0.01
		2017-05-21	0	0.01
		2017-05-21	0.5	0.01
		2017-05-21	3.5	154.8941176
		2017-05-21	6.5	277.2470588
		2017-05-21	9.5	398.7372549
		2017-05-21	12.5	432.6588235
		2017-05-22	-6.5	0.01
		2017-05-22	-0.05	0.01
		2017-05-22	0	0.01
		2017-05-22	0.5	0.01
		2017-05-22	3.5	164.1098039
		2017-05-22	6.5	347.3254902
		2017-05-22	9.5	438.6196078
		2017-05-22	12.5	407.3254902
		2017-05-23	-6.5	0.01
		2017-05-23	-0.05	0.01
		2017-05-23	0	0.01
		2017-05-23	0.5	0.01
		2017-05-23	3.5	219.1882353
		2017-05-23	6.5	347.1205883
		2017-05-23	9.5	423.4529412
		2017-05-23	12.5	393.2470589
