samp_depth	samp_date	date	depth	pwfe
-3	2017-11-09	2017-11-09	-3	0.01
5	2017-11-09	2017-11-09	-0.05	0.01
8	2017-11-09	2017-11-09	0	1.438672103
11	2017-11-09	2017-11-09	5	144.3058824
14	2017-11-09	2017-11-09	8	150.3450981
17	2017-11-09	2017-11-09	11	151.4431373
-3	2017-11-10	2017-11-09	14	146.227451
3.5	2017-11-10	2017-11-09	17	143.7176471
6.5	2017-11-10	2017-11-10	-3	0.01
9.5	2017-11-10	2017-11-10	-0.05	0.01
12.5	2017-11-10	2017-11-10	0	2.936564485
15.5	2017-11-10	2017-11-10	3.5	207.7960784
-3	2017-11-11	2017-11-10	6.5	213.2470588
3	2017-11-11	2017-11-10	9.5	214.7764706
6	2017-11-11	2017-11-10	12.5	207.4039216
9	2017-11-11	2017-11-10	15.5	205.1686274
12	2017-11-11	2017-11-11	-3	0.01
15	2017-11-11	2017-11-11	-0.05	0.01
-3	2017-11-12	2017-11-11	0	3.186820957
3	2017-11-12	2017-11-11	3	193.7960784
6	2017-11-12	2017-11-11	6	199.6392157
9	2017-11-12	2017-11-11	9	197.717647
12	2017-11-12	2017-11-11	12	193.4431372
15	2017-11-12	2017-11-11	15	189.0509804
-3	2017-11-13	2017-11-12	-3	0.01
3	2017-11-13	2017-11-12	-0.05	0.01
6	2017-11-13	2017-11-12	0	3.627193828
9	2017-11-13	2017-11-12	3	220.6588235
12	2017-11-13	2017-11-12	6	227.2862745
15	2017-11-13	2017-11-12	9	226.0705883
-3	2017-11-14	2017-11-12	12	220.3843137
3	2017-11-14	2017-11-12	15	214.6588235
6	2017-11-14	2017-11-13	-3	0.01
9	2017-11-14	2017-11-13	-0.05	0.01
12	2017-11-14	2017-11-13	0	3.862487946
15	2017-11-14	2017-11-13	3	235.0117647
-3	2017-11-15	2017-11-13	6	237.7568627
3	2017-11-15	2017-11-13	9	235.6784314
6	2017-11-15	2017-11-13	12	221.8745098
9	2017-11-15	2017-11-13	15	224.1490196
12	2017-11-15	2017-11-14	-3	0.01
15	2017-11-15	2017-11-14	-0.05	0.01
-3	2017-11-16	2017-11-14	0	4.044423015
3	2017-11-16	2017-11-14	3	246.1098039
6	2017-11-16	2017-11-14	6	247.9529412
9	2017-11-16	2017-11-14	9	249.2470588
12	2017-11-16	2017-11-14	12	223.1294118
15	2017-11-16	2017-11-14	15	233.1294118
-3	2017-11-17	2017-11-15	-3	0.01
3	2017-11-17	2017-11-15	-0.05	0.01
6	2017-11-17	2017-11-15	0	3.979492125
9	2017-11-17	2017-11-15	3	242.1490196
12	2017-11-17	2017-11-15	6	245.6
15	2017-11-17	2017-11-15	9	245.6784314
-3	2017-11-18	2017-11-15	12	233.8745098
3	2017-11-18	2017-11-15	15	201.9137255
6	2017-11-18	2017-11-16	-3	0.01
9	2017-11-18	2017-11-16	-0.05	0.01
12	2017-11-18	2017-11-16	0	4.13956927
15	2017-11-18	2017-11-16	3	251.9137255
-3	2017-11-19	2017-11-16	6	256.8156863
3	2017-11-19	2017-11-16	9	256.7372549
6	2017-11-19	2017-11-16	12	240.7372549
9	2017-11-19	2017-11-16	15	233.7568627
12	2017-11-19	2017-11-17	-3	0.01
15	2017-11-19	2017-11-17	-0.05	0.01
		2017-11-17	0	4.26171649
		2017-11-17	3	259.3647059
		2017-11-17	6	246.227451
		2017-11-17	9	239.4431372
		2017-11-17	12	234.0313726
		2017-11-17	15	220.5019608
		2017-11-18	-3	0.01
		2017-11-18	-0.05	0.01
		2017-11-18	0	4.396078431
		2017-11-18	3	267.5607843
		2017-11-18	6	267.1686274
		2017-11-18	9	264.227451
		2017-11-18	12	256.6980392
		2017-11-18	15	246.345098
		2017-11-19	-3	0.01
		2017-11-19	-0.05	0.01
		2017-11-19	0	4.346576664
		2017-11-19	3	264.5411765
		2017-11-19	6	268.1882353
		2017-11-19	9	266.1490196
		2017-11-19	12	257.4039215
		2017-11-19	15	251.4039216
