samp_depth	samp_date	date	depth	pwfe
-4	2017-11-09	2017-11-09	-4	0.01
4.5	2017-11-09	2017-11-09	-0.05	0.01
7.5	2017-11-09	2017-11-09	0	1.232417582
10.5	2017-11-09	2017-11-09	4.5	111.25
13.5	2017-11-09	2017-11-09	7.5	102.54
16.5	2017-11-09	2017-11-09	10.5	112.8966667
-4	2017-11-10	2017-11-09	13.5	135.13
3	2017-11-10	2017-11-09	16.5	96.25
6	2017-11-10	2017-11-10	-4	0.01
9	2017-11-10	2017-11-10	-0.05	0.01
12	2017-11-10	2017-11-10	0	2.772185792
15	2017-11-10	2017-11-10	3	168.5033333
-4	2017-11-11	2017-11-10	6	205.2866667
2.5	2017-11-11	2017-11-10	9	208.8566667
5.5	2017-11-11	2017-11-10	12	209.2833333
8.5	2017-11-11	2017-11-10	15	199.01
11.5	2017-11-11	2017-11-11	-4	0.01
14.5	2017-11-11	2017-11-11	-0.05	0.01
-4	2017-11-12	2017-11-11	0	2.372587467
2.5	2017-11-12	2017-11-11	2.5	120.5019608
5.5	2017-11-12	2017-11-11	5.5	143.4837255
8.5	2017-11-12	2017-11-11	8.5	171.5229412
11.5	2017-11-12	2017-11-11	11.5	196.0311765
14.5	2017-11-12	2017-11-11	14.5	188.1294118
-4	2017-11-13	2017-11-12	-4	0.01
2.5	2017-11-13	2017-11-12	-0.05	0.01
5.5	2017-11-13	2017-11-12	0	2.235717033
8.5	2017-11-13	2017-11-12	2.5	113.5215687
11.5	2017-11-13	2017-11-12	5.5	135.2470588
14.5	2017-11-13	2017-11-12	8.5	199.1686274
-4	2017-11-14	2017-11-12	11.5	225.9137255
2.5	2017-11-14	2017-11-12	14.5	212.1882353
5.5	2017-11-14	2017-11-13	-4	0.01
8.5	2017-11-14	2017-11-13	-0.05	0.01
11.5	2017-11-14	2017-11-13	0	1.239946175
14.5	2017-11-14	2017-11-13	2.5	62.7372549
-4	2017-11-15	2017-11-13	5.5	142.8941176
2.5	2017-11-15	2017-11-13	8.5	211.4823529
5.5	2017-11-15	2017-11-13	11.5	235.4431372
8.5	2017-11-15	2017-11-13	14.5	222.0117647
11.5	2017-11-15	2017-11-14	-4	0.01
14.5	2017-11-15	2017-11-14	-0.05	0.01
-4	2017-11-16	2017-11-14	0	2.131910804
2.5	2017-11-16	2017-11-14	2.5	108.227451
5.5	2017-11-16	2017-11-14	5.5	148.9333333
8.5	2017-11-16	2017-11-14	8.5	223.9137255
11.5	2017-11-16	2017-11-14	11.5	237.0901961
14.5	2017-11-16	2017-11-14	14.5	219.4235294
-4	2017-11-17	2017-11-15	-4	0.01
2.5	2017-11-17	2017-11-15	-0.05	0.01
5.5	2017-11-17	2017-11-15	0	1.676701269
8.5	2017-11-17	2017-11-15	2.5	85.01176471
11.5	2017-11-17	2017-11-15	5.5	151.6784314
14.5	2017-11-17	2017-11-15	8.5	245.6392157
-4	2017-11-18	2017-11-15	11.5	242.0705882
2.5	2017-11-18	2017-11-15	14.5	227.0705882
5.5	2017-11-18	2017-11-16	-4	0.01
8.5	2017-11-18	2017-11-16	-0.05	0.01
11.5	2017-11-18	2017-11-16	0	2.083467896
14.5	2017-11-18	2017-11-16	2.5	105.7568627
-4	2017-11-19	2017-11-16	5.5	169.3647059
2.5	2017-11-19	2017-11-16	8.5	216.4235294
5.5	2017-11-19	2017-11-16	11.5	237.0117647
8.5	2017-11-19	2017-11-16	14.5	221.6588236
11.5	2017-11-19	2017-11-17	-4	0.01
14.5	2017-11-19	2017-11-17	-0.05	0.01
		2017-11-17	0	2.170357555
		2017-11-17	2.5	110.1882353
		2017-11-17	5.5	179.9529412
		2017-11-17	8.5	220.5411765
		2017-11-17	11.5	235.4039216
		2017-11-17	14.5	222.7176471
		2017-11-18	-4	0.01
		2017-11-18	-0.05	0.01
		2017-11-18	0	1.849711649
		2017-11-18	2.5	93.8352941
		2017-11-18	5.5	191.9137255
		2017-11-18	8.5	231.2862745
		2017-11-18	11.5	249.0509804
		2017-11-18	14.5	239.2470588
		2017-11-19	-4	0.01
		2017-11-19	-0.05	0.01
		2017-11-19	0	1.926605152
		2017-11-19	2.5	97.75686274
		2017-11-19	5.5	171.9137255
		2017-11-19	8.5	243.2862745
		2017-11-19	11.5	181.2078431
		2017-11-19	14.5	232.1294118
